timestamp,aqi_index,co,no2,o3,so2,pm2_5,pm10,nh3,temperature,humidity,wind_speed
2025-11-17 05:00:00,4,693.62,17.98,76.35,8.18,51.29,64.82,20.29,9.9,21,4.1
2025-11-21 18:00:00,4,720.17,25.9,43.4,4.55,51.25,64.69,14.33,2.7,62,1.1
2025-11-25 13:00:00,4,594.17,26.78,75.96,7.12,50.8,61.23,17.7,2.6,26,4.8
2025-11-17 01:00:00,3,448.21,11.1,82.16,7.22,36.02,44.16,30.86,3.6,33,1.3
2025-11-21 17:00:00,4,719.22,26.99,44.17,4.77,50.61,64.64,13.88,3.1,51,1.0
2025-11-21 22:00:00,3,578.26,15.36,52.17,4.06,44.73,53.6,17.43,-0.2,56,1.2
2025-11-26 18:00:00,4,734.65,26.76,51.64,9.92,51.05,65.87,24.97,0.1,38,1.4
2025-12-03 06:00:00,5,966.6,18.65,80.33,6.57,96.84,108.36,9.31,4.4,38,2.9
2025-11-30 11:00:00,3,286.59,7.59,91.37,3.13,30.86,35.28,6.48,8.5,25,1.7
2025-12-04 02:00:00,4,726.91,19.37,64.47,11.45,63.03,73.14,19.41,-3.9,52,1.6
2025-12-04 18:00:00,5,1033.2,33.28,49.9,17.46,84.86,100.26,23.42,2.4,47,1.0
2025-11-19 04:00:00,4,791.81,22.56,67.38,8.61,61.78,75.67,23.35,8.5,24,4.7
2025-12-10 11:00:00,3,409.91,12.03,81.14,4.06,38.43,44.39,4.8,3.8,59,6.4
2025-12-17 13:00:00,3,667.17,28.58,43.87,5.92,49.22,58.99,7.9,6.2,41,1.4
2025-12-18 00:00:00,4,688.46,15.74,44.92,9.78,51.22,59.83,16.37,5.2,32,1.2
2025-12-21 17:00:00,2,302.16,6.77,58.15,1.05,13.97,15.65,0.8,5.5,69,1.9
2025-12-30 09:00:00,2,290.1,5.77,75.76,1.32,14.85,16.97,1.84,4.1,64,6.0
2026-01-07 03:00:00,4,1107.95,32.67,49.17,14.22,60.58,70.29,16.51,-11.4,77,2.8
2026-01-11 20:00:00,4,696.31,14.92,85.0,10.66,64.37,72.53,11.59,-5.4,32,4.8
2025-12-21 15:00:00,2,340.45,9.2,54.37,1.14,14.48,15.72,0.73,5.7,74,2.4
2026-01-04 06:00:00,4,952.48,21.53,63.15,6.09,65.7,72.84,8.58,-2.6,62,2.5
2026-01-17 03:00:00,4,809.17,22.36,42.29,7.11,59.43,67.09,10.02,-2.1,54,3.2
2026-01-20 01:00:00,4,857.63,20.18,47.29,5.55,53.17,60.75,9.39,-4.8,58,3.4
2026-01-21 00:00:00,3,705.87,15.51,58.91,7.18,34.01,39.33,11.74,-2.9,91,3.0
2026-01-22 07:00:00,3,278.43,4.85,89.52,2.66,26.66,30.42,1.68,0.9,47,5.5
2026-01-24 21:00:00,4,834.64,12.37,115.19,13.03,74.27,82.66,14.06,-7.4,44,4.9
2026-02-02 03:00:00,4,1066.6,29.28,48.73,10.94,54.22,64.85,13.42,-6.7,51,2.9
2026-02-04 17:00:00,5,1154.98,29.29,98.05,16.21,118.41,135.83,18.08,-7.4,46,5.7
2025-11-20 09:00:00,3,180.14,1.2,111.78,1.33,21.98,24.95,1.84,11.8,29,6.3
2025-11-21 20:00:00,3,655.61,20.66,45.54,3.99,48.02,58.84,15.41,0.4,58,1.3
2025-11-25 17:00:00,4,766.6,27.39,61.54,10.6,62.09,78.3,23.66,1.6,29,2.3
2025-12-02 18:00:00,5,947.27,28.23,43.49,7.53,81.59,95.31,13.12,1.2,55,0.8
2025-12-04 12:00:00,4,623.12,24.77,73.99,7.17,61.35,69.88,8.82,2.6,34,0.8
2025-12-06 03:00:00,4,711.48,20.22,50.89,6.02,61.28,71.38,11.77,-1.3,63,1.3
2025-12-09 09:00:00,3,328.22,5.49,101.42,3.02,40.21,45.12,2.96,4.4,56,3.0
2025-12-17 21:00:00,4,791.01,21.31,39.1,10.15,57.08,67.56,15.46,4.7,31,1.2
2025-12-19 05:00:00,4,881.7,21.08,51.11,11.24,59.44,72.34,15.86,6.4,45,1.9
2025-12-20 16:00:00,3,496.22,14.71,52.56,3.68,37.89,45.7,6.28,8.8,41,0.5
2025-12-25 02:00:00,4,643.41,16.68,61.15,9.41,51.65,61.43,16.24,-7.9,47,3.9
2025-12-25 06:00:00,4,865.84,18.49,74.23,8.19,71.57,84.02,12.58,-2.4,36,3.9
2025-12-26 05:00:00,5,1002.82,25.33,59.44,14.03,79.36,92.83,19.95,1.9,40,3.8
2025-12-30 17:00:00,3,767.15,24.84,34.72,5.59,46.45,56.42,8.52,2.3,67,4.1
2026-01-06 15:00:00,4,1068.69,38.69,55.45,14.93,62.25,73.29,15.05,-8.0,70,2.8
2026-01-08 13:00:00,5,911.7,31.3,105.59,12.35,101.98,112.83,12.2,-8.2,46,3.6
2026-01-11 23:00:00,4,592.67,10.89,90.24,9.26,56.24,62.65,10.29,-4.5,34,3.9
2026-01-15 03:00:00,5,1020.32,27.88,77.41,18.27,100.1,112.56,18.78,-6.2,49,3.3
